时间,股票名,缩写,现价,保有量,投资者
2023/4/21 17:54:38,Torn City Investments,TCI,961.57,17183915851453,15171
2023/4/21 17:54:38,Syscore MFG,SYS,532.55,3294513097357,5403
2023/4/21 17:54:38,Legal Authorities Group,LAG,412.36,2722937060158,8732
2023/4/21 17:54:38,Insured On Us,IOU,143.03,7006642499397,14236
2023/4/21 17:54:38,Grain,GRN,264.55,3417683050832,17771
2023/4/21 17:54:38,Torn City Health Service,THS,321.91,2535872591588,28774
2023/4/21 17:54:38,Yazoo,YAZ,47.03,1930256935670,8703
2023/4/21 17:54:38,The Torn City Times,TCT,306.22,1516214920173,17067
2023/4/21 17:54:38,Crude & Co,CNC,715.93,7399874258591,6769
2023/4/21 17:54:38,Messaging Inc.,MSG,234.94,471841763801,6194
2023/4/21 17:54:38,TC Music Industries,TMI,172.13,17356458863257,9904
2023/4/21 17:54:38,TC Media Productions,TCP,444.67,2248626327896,7837
2023/4/21 17:54:38,I Industries Ltd.,IIL,118.46,3614455077709,11891
2023/4/21 17:54:38,Feathery Hotels Group,FHG,706.99,46249328925207,21949
2023/4/21 17:54:38,Symbiotic Ltd.,SYM,592.84,22198116733192,30525
2023/4/21 17:54:38,Lucky Shots Casino,LSC,444.56,3821429223114,21857
2023/4/21 17:54:38,Performance Ribaldry,PRN,532.16,10242678123994,17720
2023/4/21 17:54:38,Eaglewood Mercenary,EWM,258.08,2422757009602,9476
2023/4/21 17:54:38,Torn City Motors,TCM,302.16,1262829486199,6576
2023/4/21 17:54:38,Empty Lunchbox Traders,ELT,237.02,4143850063279,4371
2023/4/21 17:54:38,Home Retail Group,HRG,228.48,10569020347227,11566
2023/4/21 17:54:38,Tell Group Plc.,TGP,112.76,2028551960462,9266
2023/4/21 17:54:38,Munster Beverage Corp.,MUN,463.85,11460569281030,6189
2023/4/21 17:54:38,West Side University,WSU,90.16,2181721689125,27543
2023/4/21 17:54:38,International School TC,IST,463.42,413149406536,10303
2023/4/21 17:54:38,Big Al's Gun Shop,BAG,403.77,4037994217509,7285
2023/4/21 17:54:38,Evil Ducks Candy Corp,EVL,524.84,3010662800705,10725
2023/4/21 17:54:38,Mc Smoogle Corp,MCS,708.64,16755446506057,16657
2023/4/21 17:54:38,Wind Lines Travel,WLT,689.14,8748125535388,7177
2023/4/21 17:54:38,Torn City Clothing,TCC,498.93,2571407129971,7353
2023/4/21 17:54:38,Alcoholics Synonymous,ASS,308.01,1850680771463,6563
2023/4/21 17:54:38,Herbal Releaf Co.,CBD,394.4,2122391259546,6694
2023/4/21 17:54:38,Lo Squalo Waste,LOS,94.66,10874729421315,3114
2023/4/21 17:54:38,PointLess,PTS,68.63,5618570711567,7819
