faction,name,ecs,lsd,xan,total,overdose,rate
NOV,HeartheWindSing,53,50,966,1486,30,49
NOV,muyui,83,0,1342,1477,27,54
NOV,Gourdbaby,70,2,1324,1430,32,44
NOV,saltedfish,50,4,1207,1579,30,52
NOV,kirired,54,0,1148,1369,22,62
NOV,GooseBot,29,0,919,953,15,63
NOV,SoftRabbit,37,0,1000,1146,18,63
NOV,ohh,50,0,878,1023,19,53
NOV,Baize,6,0,890,910,15,60
NOV,echo07,7,0,788,797,10,79
NOV,goodfriend,199,0,584,785,30,26
NOV,xxxbx,14,0,686,705,15,47
NOV,PengQiaQia,50,8,714,922,14,65
NOV,mataraokina,31,0,664,695,9,77
NOV,Seoyu,15,0,539,559,7,79
NOV,shuyu,27,0,258,295,10,29
NOV,Seiga,18,0,409,454,7,64
NOV,godonion,42,0,248,299,3,99
NOV,Zemin,40,1,155,196,3,65
NOV,chenyf,9,0,150,159,5,31
NOV,RoShan_Marvin,41,0,90,131,5,26
NOV,souyu,1,0,50,52,1,52
NOV,shadowfaker,51,0,73,124,3,41
NOV,YAOYAO,60,0,40,100,5,20
NOV,evan1321,20,0,96,123,5,24
NOV,SherrifCat,37,0,75,121,1,121
NOV,GaunterODimm,19,0,60,79,3,26
NOV,theOldWang,11,0,75,86,1,86
NOV,Siuyu,34,0,55,89,1,89
NOV,MiuPaS,58,0,21,135,5,27
NOV,lingege,21,0,56,77,3,25
CCRC,Kim,51,50,6455,7243,135,53
CCRC,Razorbeak,74,58,1441,1956,40,48
CCRC,SoScuishy,101,50,3854,4339,87,49
CCRC,Hobo_King,64,1,2763,2936,58,50
CCRC,ZeroPlueOne,203,0,1511,1718,42,40
CCRC,CFulcrum,26,0,1235,1328,25,53
CCRC,Gaby123,142,1,743,914,19,48
CCRC,ElektrkDrtbrd,32,262,1035,1436,37,38
CCRC,Kaslana,52,0,267,320,7,45
CCRC,zj243,22,0,739,761,9,84
CCRC,Hoyping,161,4,3186,3416,84,40
CCRC,Shineast,99,50,3301,3532,69,51
CCRC,cestbon,191,20,3129,3474,81,42
CCRC,liangfan1019,150,50,3061,3650,83,43
CCRC,Sitcom,115,11,1761,1911,31,61
CCRC,Qs_Mulianzhi,150,50,2321,2895,55,52
CCRC,Ezerald,50,51,2831,3048,52,58
CCRC,KingsterJin,49,0,3159,3240,54,60
CCRC,lonsumi,46,12,1223,1344,34,39
CCRC,astrosoft,134,60,2575,3157,65,48
